,Sandwiches,Half subs
Steamer,$1.29 ,$3.29 
Cold Cut,$1.99 ,$2.99 
Ham & Cheese,$2.19 ,$3.19 
Turkey & Cheese,$2.19 ,$3.19 
Roast Beef & Cheese,$2.29 ,$3.29 
Italian,$2.89 ,$3.69 
Country Ham,$3.09 ,$4.19 
Meatball,---,$3.69 
Egg Salad,$2.39 ,$3.69 
Tuna Salad,$2.49 ,$3.69 
Chicken Salad,$2.49 ,$3.69 
Ham Salad,$2.49 ,$3.69 
Beef & Pickle,$2.49 ,$3.69 
BBQ Pork,$2.39 ,$3.69 
Hamburger,$2.29 ,$3.29 
Cheeseburger,$2.49 ,$3.69 
Corn Beef,$2.19 ,$3.19 
Bologna,$1.99 ,$2.99 
Lebanon,$2.29 ,$3.29 
Liversworth,$2.29 ,$3.29 
Spiced Ham,$2.29 ,$3.29 
Hot Dog,$0.99 ,---
BLT,$2.49 ,$3.69 
Breakfast Sausage,$1.39 ,---
Club,$3.59 ,$4.49 
